x1, v1, x2, v2, x3, v3
0,0,0,0,0,0,
9.33994e-08,1.48024e-05,1.02549e-07,1.70387e-05,0,1.71062e-05,
9.60984e-07,0.000123896,1.09531e-06,0.000147928,0,0.000148814,
2.85983e-06,0.000187326,3.58284e-06,0.000265561,0,0.000269576,
5.26037e-06,0.000210524,7.34147e-06,0.000359472,0,0.000368945,
7.9362e-06,0.000235242,1.22262e-05,0.000453259,0,0.000469222,
1.10883e-05,0.00028973,1.83708e-05,0.000569567,0,0.000591919,
1.50301e-05,0.000365764,2.60275e-05,0.00070529,0,0.000733715,
1.97335e-05,0.000417377,3.51648e-05,0.000816364,0,0.000850794,
2.49133e-05,0.000446486,4.54591e-05,0.000898232,0,0.000938412,
3.03029e-05,0.000453877,5.65148e-05,0.000943585,0,0.000988669,
3.58609e-05,0.000474187,6.80894e-05,0.00098501,0,0.00103361,
4.20233e-05,0.000551021,8.04832e-05,0.00108014,0,0.00113118,
4.93191e-05,0.000659616,9.43294e-05,0.00122669,0,0.00128063,
5.78325e-05,0.000753365,0.000110029,0.0013884,0,0.00144728,
6.70544e-05,0.00078149,0.000127375,0.00150097,0,0.00156706,
7.64508e-05,0.000785975,0.000145877,0.00158106,0,0.0016551,
8.57374e-05,0.000766285,0.000165023,0.00160885,0,0.00168965,
9.47877e-05,0.000747464,0.000184282,0.00160063,0,0.00168548,
0.000103529,0.000714806,0.000203145,0.00154363,0,0.0016293,
0.000112215,0.000734439,0.000221521,0.00151969,0,0.00160335,
0.000121588,0.000822982,0.000240113,0.00157938,0,0.00166023,
0.000132209,0.00093811,0.000259861,0.00171156,0,0.00179176,
0.000143915,0.00100506,0.000281211,0.00184525,0,0.00192893,
0.000155309,0.000897178,0.000303152,0.00181008,0,0.00190037,
0.000164957,0.000723162,0.00032392,0.00165094,0,0.00174642,
0.000172257,0.000511106,0.000341969,0.00135894,0,0.00145355,
0.000178906,0.000599327,0.000357984,0.00131268,0,0.00139911,
0.000187106,0.00075732,0.000374113,0.00137698,0,0.00145344,
